repository_id,repository_name,full_name,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,is_fork,is_archived,is_disabled,visibility
1355657419,HR-Analytics-Employee-Attrition,Sakshi160244/HR-Analytics-Employee-Attrition,https://github.com/Sakshi160244/HR-Analytics-Employee-Attrition,,Python,2026-09-03T07:32:33Z,2026-09-03T09:49:11Z,2026-09-03T09:49:06Z,1201,0,0,0,0,main,False,False,False,public
1353393779,E-Commerce-Sales-Analysis-Dashboard,Sakshi160244/E-Commerce-Sales-Analysis-Dashboard,https://github.com/Sakshi160244/E-Commerce-Sales-Analysis-Dashboard,,Python,2026-09-01T09:41:31Z,2026-09-01T10:40:54Z,2026-09-01T10:37:33Z,1156,0,0,0,0,main,False,False,False,public
1339402119,E-Commerce-Sales-Data-Analysis,Sakshi160244/E-Commerce-Sales-Data-Analysis,https://github.com/Sakshi160244/E-Commerce-Sales-Data-Analysis,"E-commerce sales data analysis project using Python, SQL, NumPy, Pandas and Matplotlib.",Python,2026-08-19T10:00:33Z,2026-08-19T10:26:55Z,2026-08-19T10:24:22Z,29,0,0,0,0,main,False,False,False,public
1290770586,Sakshi160244,Sakshi160244/Sakshi160244,https://github.com/Sakshi160244/Sakshi160244,"Aspiring Data Analyst skilled in SQL, Python, Excel, Power BI, NumPy, Pandas and Data Visualization.",,2026-07-06T08:17:01Z,2026-08-12T10:22:02Z,2026-07-08T09:49:17Z,1249,0,0,0,0,main,False,False,False,public
1331874837,sakship_sql_analytics_practice.py,Sakshi160244/sakship_sql_analytics_practice.py,https://github.com/Sakshi160244/sakship_sql_analytics_practice.py,"SQL and Python practice for Data Analytics covering queries, joins, subqueries, CTEs, CASE statements and window functions.",Python,2026-08-12T09:59:38Z,2026-08-12T10:16:27Z,2026-08-12T10:16:23Z,20,0,0,0,0,main,False,False,False,public
1293318534,python,Sakshi160244/python,https://github.com/Sakshi160244/python,,Python,2026-07-08T08:41:17Z,2026-07-08T09:02:11Z,2026-07-08T09:01:54Z,50,0,0,0,0,main,False,False,False,public
1292028821,Employee-Attendance-Management-System-,Sakshi160244/Employee-Attendance-Management-System-,https://github.com/Sakshi160244/Employee-Attendance-Management-System-,"Employee Attendance Management System is a Python project that records employees' check-in and check-out times to determine attendance status such as Present, Absent, Overtime, Half Day, or Short Day. It processes multiple records, counts each attendance type, and displays a summary report using loops and conditional statements.",Python,2026-07-07T08:47:13Z,2026-07-07T09:52:24Z,2026-07-07T08:57:08Z,6,0,0,0,0,main,False,False,False,public
1292104220,python-grading-system,Sakshi160244/python-grading-system,https://github.com/Sakshi160244/python-grading-system,"A Python-based Student Grade Calculator that evaluates marks and assigns grades using predefined criteria. The application validates user input, handles invalid entries with exception handling, and demonstrates functions, conditional statements, input validation, and error handling.",Python,2026-07-07T09:47:06Z,2026-07-07T09:49:24Z,2026-07-07T09:49:20Z,4,0,0,0,0,main,False,False,False,public
1292098661,python-calculator,Sakshi160244/python-calculator,https://github.com/Sakshi160244/python-calculator,"A Python-based calculator that performs addition, subtraction, multiplication, and division using functions. The application includes exception handling to manage invalid inputs and division by zero, demonstrating functions, conditional statements, user input validation, and error handling.",Python,2026-07-07T09:43:11Z,2026-07-07T09:44:20Z,2026-07-07T09:44:15Z,4,0,0,0,0,main,False,False,False,public
1292084299,age-category-classifier,Sakshi160244/age-category-classifier,https://github.com/Sakshi160244/age-category-classifier,"A Python-based Age Category Classifier that categorizes individuals into different age groups such as Child, Teenage, Youngster, Parentage, and Old Age. The program also counts the total number of teenagers while demonstrating loops, conditional statements, counters, and user input handling.",Python,2026-07-07T09:32:43Z,2026-07-07T09:38:31Z,2026-07-07T09:38:26Z,4,0,0,0,0,main,False,False,False,public
1292080212,employee-attendance-tracker,Sakshi160244/employee-attendance-tracker,https://github.com/Sakshi160244/employee-attendance-tracker,"A Python-based Employee Attendance Tracker that processes attendance records using nested loops. The system classifies employees as Present, Absent, Overtime, Half Day, or Short Day, maintains individual and overall attendance counts, and generates summary reports using Python control structures.",Python,2026-07-07T09:28:58Z,2026-07-07T09:30:30Z,2026-07-07T09:30:21Z,4,0,0,0,0,main,False,False,False,public
1292074059,rule-based-chatbot,Sakshi160244/rule-based-chatbot,https://github.com/Sakshi160244/rule-based-chatbot,"A Python-based rule-based chatbot that responds to user-selected menu options with predefined messages. The application demonstrates dictionaries, loops, conditional statements, and user input handling to create a simple interactive console chatbot.",Python,2026-07-07T09:23:01Z,2026-07-07T09:24:21Z,2026-07-07T09:24:17Z,4,0,0,0,0,main,False,False,False,public
1292066761,cafe-billing-system,Sakshi160244/cafe-billing-system,https://github.com/Sakshi160244/cafe-billing-system,"A Python-based Cafe Billing System that allows customers to place orders from a predefined menu, calculates the subtotal, applies GST, and generates the final bill. The project demonstrates dictionaries, loops, conditional statements, user input handling, and basic billing logic.",Python,2026-07-07T09:16:01Z,2026-07-07T09:18:49Z,2026-07-07T09:18:44Z,4,0,0,0,0,main,False,False,False,public
1292056401,python-user-profile-manager,Sakshi160244/python-user-profile-manager,https://github.com/Sakshi160244/python-user-profile-manager,"A Python-based console application that allows users to view and update profile information stored in a dictionary. The system provides a menu-driven interface to display or modify the user's name and password while demonstrating dictionaries, loops, conditional statements, and user input handling.",Python,2026-07-07T09:07:03Z,2026-07-07T09:10:39Z,2026-07-07T09:10:24Z,5,0,0,0,0,main,False,False,False,public
929356262,Hospital_Emergency_Room_Dashboard,Sakshi160244/Hospital_Emergency_Room_Dashboard,https://github.com/Sakshi160244/Hospital_Emergency_Room_Dashboard,I have created dashboard to find out meaningful insights on Hospital data,,2025-02-08T11:03:35Z,2025-02-08T11:03:35Z,2025-01-21T06:19:05Z,497,0,0,0,0,main,True,False,False,public
