repository_id,repository_name,full_name,owner_username,owner_type,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,topics,license_name,homepage,has_issues,has_projects,has_wiki,has_pages,is_fork,is_archived,is_disabled,visibility
280508180,Data-science,CodeCutTech/Data-science,CodeCutTech,Organization,https://github.com/CodeCutTech/Data-science,"Collection of useful data science topics along with articles, videos, and code",Jupyter Notebook,2020-07-17T19:25:27Z,2026-09-13T23:20:41Z,2025-12-02T21:42:02Z,141605,4219,4219,1058,6,master,"articles, artificial-intelligence, data-analysis, data-science, data-visualization, machine-learning, natural-language-processing, python, scraping, time-series",,https://codecut.ai/blog,True,True,True,True,False,True,False,public
54834492,missingno,ResidentMario/missingno,ResidentMario,User,https://github.com/ResidentMario/missingno,Missing data visualization module for Python.,Python,2016-03-27T15:18:50Z,2026-09-11T02:35:11Z,2024-05-14T18:30:13Z,10860,4214,4214,520,14,master,"data-analysis, data-visualization, missing-data, pandas, python",MIT License,,True,True,True,False,False,False,False,public
1078317722,echotrace,ycccccccy/echotrace,ycccccccy,User,https://github.com/ycccccccy/echotrace,"EchoTrace 是一个本地、安全的微信聊天记录导出、分析与年度报告生成工具 | EchoTrace is a local, secure tool for exporting, analyzing, and generating annual reports of WeChat chat records",,2025-10-17T14:40:37Z,2026-09-14T22:43:49Z,2026-03-20T14:11:25Z,45165,3813,3813,681,31,main,"annual-reports, chat-history, data-analysis, data-visualization, wechat",MIT License,,True,True,True,False,False,False,False,public
48880766,tablesaw,jtablesaw/tablesaw,jtablesaw,Organization,https://github.com/jtablesaw/tablesaw,Java dataframe and visualization library,Java,2016-01-01T14:58:28Z,2026-09-01T03:42:10Z,2026-08-08T05:46:55Z,66328,3764,3764,646,147,master,"chart, data-analysis, data-frame, data-science, data-visualization, dataframe, high-performance, java, java-dataframe, machine-learning, plotly, plotting, statistical-analysis, statistics, visualization",Apache License 2.0,https://jtablesaw.github.io/tablesaw/,True,True,True,True,False,False,False,public
649609017,VTable,VisActor/VTable,VisActor,Organization,https://github.com/VisActor/VTable,"VTable is not just a high-performance multidimensional data analysis table, but also a grid artist that creates art between rows and columns.",TypeScript,2023-06-05T08:51:38Z,2026-09-15T02:54:14Z,2026-09-15T08:36:42Z,170046,3657,3657,488,539,develop,"canvas-table, data-analysis, data-visualization, database, datagrid, grid, javascript-table, javescript, list-table, list-tree, online-excel, pivot-chart, pivot-grid, pivot-tables, react-table, sparklines, spreadsheet, tree-table, visualization, vue-table",MIT License,https://visactor.io/vtable,True,True,True,False,False,False,False,public
786187721,rio,rio-labs/rio,rio-labs,Organization,https://github.com/rio-labs/rio,"WebApps in pure Python. No JavaScript, HTML and CSS needed",Python,2024-04-13T17:24:38Z,2026-09-14T05:24:16Z,2026-08-31T18:41:48Z,50894,3647,3647,158,75,main,"app, crud-application, data-analysis, data-science, data-visualization, developer-tools, framework, gui, machine-learning, python, web",Apache License 2.0,https://rio.dev,True,True,True,False,False,False,False,public
114992691,awesome-python-data-science,krzjoa/awesome-python-data-science,krzjoa,User,https://github.com/krzjoa/awesome-python-data-science,Probably the best curated list of data science software in Python.,,2017-12-21T10:17:53Z,2026-09-14T11:51:45Z,2026-04-13T07:15:05Z,1549,3588,3588,464,21,master,"awesome, awesome-list, awesome-python, data-analysis, data-science, data-visualization, deep-learning, machine-learning, python, scikit-learn, statistics",Creative Commons Attribution 4.0 International,https://krzjoa.github.io/awesome-python-data-science,True,True,True,True,False,False,False,public
188880197,ml-workspace,ml-tooling/ml-workspace,ml-tooling,Organization,https://github.com/ml-tooling/ml-workspace,🛠 All-in-one web-based IDE specialized for machine learning and data science.,Jupyter Notebook,2019-05-27T16:55:15Z,2026-09-15T06:37:10Z,2024-07-26T07:39:39Z,13331,3546,3546,457,0,main,"anaconda, data-analysis, data-science, data-visualization, deep-learning, docker, gpu, jupyter, jupyter-lab, jupyter-notebook, kubernetes, machine-learning, neural-networks, nlp, python, pytorch, r, scikit-learn, tensorflow, vscode",Apache License 2.0,https://mltooling.org/ml-workspace,True,False,False,False,False,False,False,public
71822014,tad,antonycourtney/tad,antonycourtney,User,https://github.com/antonycourtney/tad,A desktop application for viewing and analyzing tabular data,TypeScript,2016-10-24T18:59:04Z,2026-09-15T04:54:29Z,2025-03-05T22:46:06Z,29291,3477,3477,134,166,master,"csv, data-analysis, data-science, database, desktop-application, duckdb, parquet-viewer, pivot-tables, pivots, tabular-data",MIT License,http://tadviewer.com,True,True,True,True,False,False,False,public
10994345,root,root-project/root,root-project,Organization,https://github.com/root-project/root,"The official repository for ROOT: analyzing, storing and visualizing big data, scientifically",C++,2013-06-27T10:46:59Z,2026-09-15T09:14:55Z,2026-09-15T09:14:48Z,1624571,3294,3294,1560,653,master,"c-plus-plus, cling, data-analysis, geometry, graphics, hacktoberfest, interpreter, machine-learning, mathematics, parallel, physics, python, root, root-cern, statistics, visualization",Other,https://root.cern,True,True,False,False,False,False,False,public
29273084,pandas-datareader,pydata/pandas-datareader,pydata,Organization,https://github.com/pydata/pandas-datareader,Extract data from a wide range of Internet sources into a pandas DataFrame.,Python,2015-01-15T00:34:19Z,2026-09-14T16:33:13Z,2026-07-21T08:28:05Z,14783,3269,3269,693,147,main,"data, data-analysis, dataset, econdb, economic-data, fama-french, finance, financial-data, fred, html, pandas, pydata, python, stock-data",Other,https://pydata.github.io/pandas-datareader/stable/index.html,True,True,True,True,False,False,False,public
542017915,graphic-walker,Kanaries/graphic-walker,Kanaries,Organization,https://github.com/Kanaries/graphic-walker,An open source alternative to Tableau. Embeddable visual analytic,TypeScript,2022-09-27T10:02:28Z,2026-09-14T13:55:55Z,2026-09-08T10:36:12Z,4967,3244,3244,187,48,main,"bi, data, data-analysis, data-mining, data-visualization, eda, k6s, kanaries, low-code, pivot-table, react, tableau, tableau-alternative, typescript, vega, vega-lite, visualization",Apache License 2.0,https://kanaries.net/graphic-walker,True,True,True,False,False,False,False,public
1136039994,ChartGPU,ChartGPU/ChartGPU,ChartGPU,Organization,https://github.com/ChartGPU/ChartGPU,"Beautiful, open source, WebGPU-based charting library",TypeScript,2026-01-17T00:52:00Z,2026-09-15T09:58:50Z,2026-08-24T12:06:47Z,19319,3228,3228,105,2,main,"awesome-list, candlestick-chart, chart, chart-library, charting-library, charts, data-analysis, data-visualization, financial-charts, gpu, high-performance, open-source, scatter-plot, shaders, typescript, webgpu, wgsl",MIT License,https://chartgpu.io,True,True,False,True,False,False,False,public
114778979,awesome-TS-anomaly-detection,rob-med/awesome-TS-anomaly-detection,rob-med,User,https://github.com/rob-med/awesome-TS-anomaly-detection,List of tools & datasets for anomaly detection on time-series data.,,2017-12-19T15:05:20Z,2026-09-09T10:02:40Z,2024-10-21T16:22:32Z,144,3164,3164,463,6,master,"anomaly-detection, awesome-list, data-analysis, data-mining, machine-learning, outlier-detection, temporal-data, time-series",,,True,True,True,False,False,False,False,public
